Company Name,Company Location,Total Annual Revenue from Data Services (USD),Total Annual Revenue (USD),Energy Data Reporting Year,Energy Use by Company Owned Data Centers (MWh),Energy Use by Colo Data Centers (MWh),Total Data Center Energy Use (MWh),Total Direct Company Energy Use (MWh),Scope 1 CO2 Emissions From Total Company Energy Use (MMT CO₂e),Scope 2 CO2 Emissions From Total Company Energy Use (MMT CO₂e) [Location Based Method] - Highlighted in blue if accounting method not specified,Scope 2 CO2 Emissions From Total Company Energy Use (MMT CO₂e) [Market Based Method],Scope 3 CO2 Emissions From Total Company Energy Use (MMT CO₂e),Name of Report,Link,Notes
China Telecom Corp,China,,,2019,,,," 20,711,094.00 ",0.21,13.34,,N/R,ChinaTelecom-FY2019,https://www.chinatelecom-h.com/en/ir/report/annual2019.pdf,
Digital Realty,USA,,,2019,,,," 6,904,262.00 ",0.02598,2.48,1.60,1.78,DigitalRealty-FY2019,https://go2.digitalrealty.com/rs/087-YZJ-646/images/Report_Digital_Realty_2019_ESG_Report.pdf,
QTS,USA,,,2019,,,," 1,186,000.00 ",0.00058,0.39,,N/R,QTS-FY2019,https://www.qtsdatacenters.com/resources/brochures/esg-initiatives-2019,
Switch,USA,,,2019,,,," 689,679.00 ",0.31,,,N/R,Switch-FY2019,https://www.switch.com/sustainability/,
Equinix,USA,,,2019,,,," 5,740,000.00 ","40,700",2.08,0.31,0.16,Equinix-FY2019,https://sustainability.equinix.com/,
Century Link,USA,,,2019,,,,,0.286,1.911,,2.18,CenturyLink-FY2019,https://s24.q4cdn.com/287068338/files/doc_downloads/2020/04/CenturyLink-2019-ESG-Report.pdf,
KDDI Group,Japan,,,2019,,,," 2,258,518.00 ",0.0067,1.25,,5.41,KDDI-FY2019,https://www.kddi.com/extlib/files/english/corporate/csr/csr_report/2020/pdf/report2020_en-interactive.pdf,
Iron Mountain,USA,,,2019,,," 574,406.00 "," 1,533,552.00 ",0.039,,0.077,0.14,IronMountain-FY2019,https://www.ironmountain.com/about-us/corporate-social-responsibility/news-and-noteworthy/corporate-social-responsibility-reports,
Cyrus One Inc.,USA,,,2019,,,," 2,506,000.00 ",0.3542,,,0.61,CyrusOne-CY2-2019,,
Coresite,USA,,,2019,,,," 908,000.00 ",,0.2590,,N/R,CoreSite-FY2019,https://www.coresite.com/about/sustainability,
China Unicom,China,,,,,,,,,,,,,,
Verizon,USA,,,,,,,,,,,,,,
China Mobile,China,,,,,,,,,,,,,,
21 Vianet,China,,,,,,,,,,,,,,
Dr Peng,China,,,,,,,,,,,,,,
Sinnet,China,,,,,,,,,,,,,,
GDS,China,,,,,,,,,,,,,,
Wangsu,China,,,,,,,,,,,,,,
Evoque Data Center Solutions,USA,,,,,,,,,,,,,,
BT Global Services,UK,,,,,,,,,,,,,,
Interxion,Netherlands,,,,,,,,,,,,,,
Sunevision,Hong Kong,,,,,,,,,,,,,,"""The company provides carrier and cloud-neutral data centre services"""
Teraco Data Environments,South Africa,,,,,,,,,,,,,,"""Vendor Neutral Data Center Provider"""
AIMS,Malaysia,,,,,,,,,,,,,,
Web Werks,India,,,,,,,,,,,,,,
Fujitsu,Japan,,,,,,,,,,,,,,
iSeek,Australia,,,,,,,,,,,,,,
Telestra,Australia,,,,,,,,,,,,,,
Vocus,Australia,,,,,,,,,,,,,,
YourDC,Australia,,,,,,,,,,,,,,
Macquarie,Australia,,,,,,,,,,,,,,
Spark,New Zealand,,,,,,,,,,,,,,
Next DC,Australia,,,,,,,,,,,,,,
Colt Data Center Services,UK,,,,,,,,,,,,,,
Global Switch,UK,,,,,,,,,,,,,,
Telehouse,USA,,,,,,,,,,,,,,
365 Data Centers,USA,,,,,,,,,,,,,,
Cologix,USA,,,,,,,,,,,,,,
Tierpoint,USA,,,,,,,,,,,,,,
Data Foundry,USA,,,,,,,,,,,,,,
On Ramp,USA,,,,,,,,,,,,,,
DataBank,USA,,,,,,,,,,,,,,
Flextenial,USA,,,,,,,,,,,,,,
Neutrality,USA,,,,,,,,,,,,,,
DCI Holdings,USA,,,,,,,,,,,,,,
IronGate,USA,,,,,,,,,,,,,,
Sabey,USA,,,,,,,,,,,,,,
Aligned,USA,,,,,,,,,,,,,,
Sentinel,USA,,,,,,,,,,,,,,
Cloud HQ,USA,,,,,,,,,,,,,,
Compass,USA,,,,,,,,,,,,,,
Vantage,USA,,,,,,,,,,,,,,
One Wilshire,USA,,,,,,,,,,,,,,
Internap,USA,,,,,,,,,,,,,,
EdgeConneX,USA,,,,,,,,,,,,,,
EdgeCore,USA,,,,,,,,,,,,,,
Stream,USA,,,,,,,,,,,,,,
Cyxtera Technologies,,,,,,,,,,,,,,,
Zayo Group LLC,,,,,,,,,,,,,,,
Rackspace,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
