"","company","data_year","fuel_type","value"
"2","21Vianet",2020,"Electricity",491853539
"3","Accenture",2019,"Electricity",60334246.5753425
"4","Accenture",2018,"Electricity",79780219.7802198
"5","Adobe",2019,"Electricity",3851515151.51515
"6","Adobe",2018,"Electricity",2713305785.12397
"7","Adobe",2018,"Electricity",3203884297.52066
"8","Amazon",2020,"Electricity",2.4e+10
"9","American Express",2019,"Electricity",2.57569e+11
"10","American Express",2018,"Electricity",2.46955e+11
"11","American Express",2017,"Electricity",2.59323e+11
"12","Apple",2019,"Electricity",92516853.9325843
"13","Apple",2019,"Electricity",58662921.3483146
"14","Apple",2019,"Electricity",25584269.6629214
"15","Apple",2019,"Electricity",72101123.5955056
"16","Apple",2019,"Electricity",89157303.3707865
"17","Apple",2019,"Electricity",3359550.56179775
"18","Apple",2019,"Electricity",75719101.1235955
"19","Apple",2019,"Electricity",20674157.3033708
"20","Apple",2019,"Electricity",1808988.76404494
"21","Apple",2018,"Electricity",83188732.3943662
"22","Apple",2018,"Electricity",42242253.5211268
"23","Apple",2018,"Electricity",27988732.3943662
"24","Apple",2018,"Electricity",65825352.1126761
"25","Apple",2018,"Electricity",96923943.6619718
"26","Apple",2018,"Electricity",1554929.57746479
"27","Apple",2018,"Electricity",71267605.6338028
"28","Apple",2018,"Electricity",16585915.4929577
"29","Apple",2017,"Electricity",76450704.2253521
"30","Apple",2017,"Electricity",29543661.971831
"31","Apple",2017,"Electricity",65307042.2535211
"32","Apple",2017,"Electricity",65566197.1830986
"33","Apple",2017,"Electricity",26952112.6760563
"34","Apple",2017,"Electricity",1036619.71830986
"35","Apple",2017,"Electricity",63233802.8169014
"36","Apple",2017,"Electricity",21509859.1549296
"37","Apple",2016,"Electricity",69980281.6901408
"38","Apple",2016,"Electricity",30247887.3239437
"39","Apple",2016,"Electricity",49985915.4929577
"40","Apple",2016,"Electricity",47678873.2394366
"41","Apple",2016,"Electricity",11535211.2676056
"42","Apple",2016,"Electricity",9484.50704225352
"43","Apple",2016,"Electricity",58445070.4225352
"44","Apple",2016,"Electricity",15636619.7183099
"45","Apple",2015,"Electricity",63056179.7752809
"46","Apple",2015,"Electricity",33595505.6179775
"47","Apple",2015,"Electricity",29719101.1235955
"48","Apple",2015,"Electricity",23258426.9662921
"49","Apple",2015,"Electricity",4910112.35955056
"50","Apple",2015,"Electricity",46516853.9325843
"51","Apple",2014,"Electricity",56495774.6478873
"52","Apple",2014,"Electricity",35504225.3521127
"53","Apple",2014,"Electricity",13994366.1971831
"54","Apple",2014,"Electricity",11921126.7605634
"55","Apple",2013,"Electricity",48721126.7605634
"56","Apple",2013,"Electricity",35763380.2816901
"57","Apple",2013,"Electricity",6997183.09859155
"58","Apple",2013,"Electricity",4923943.66197183
"59","Apple",2012,"Electricity",41014084.5070423
"60","Apple",2012,"Electricity",31529577.4647887
"61","Apple",2012,"Electricity",4614084.50704225
"62","Apple",2012,"Electricity",769014.084507042
"63","Apple",2011,"Electricity",26876404.494382
"64","Apple",2011,"Electricity",28685393.258427
"65","Apple",2011,"Electricity",516853.93258427
"66","Apple",2010,"Electricity",11402816.9014084
"67","Apple",2010,"Electricity",24101408.4507042
"68","Baidu",2020,"Electricity",529137384.1
"69","Baidu",2019,"Electricity",490628065.2
"70","Capital One",2020,"Electricity",333792000
"71","Capital One",2019,"Electricity",375125000
"72","Capital One",2018,"Electricity",398886000
"73","Capital One",2017,"Electricity",414164000
"74","Capital One",2016,"Electricity",404274000
"75","Capital One",2015,"Electricity",426593000
"76","Capital One",2014,"Electricity",452037000
"77","Capital One",2013,"Electricity",454245000
"78","China Telecom",2020,"Electricity",2.2833e+10
"79","China Telecom",2019,"Electricity",1.9501e+10
"80","China Telecom",2018,"Electricity",1.7096e+10
"81","China Telecom",2017,"Electricity",1.6276e+10
"82","Dell",2019,"Electricity",941123966.942149
"83","Dell",2018,"Electricity",947407713.498623
"84","Dell",2017,"Electricity",998181818.181818
"85","eBay",2020,"Electricity",392369000
"86","eBay",2019,"Electricity",405681000
"87","eBay",2018,"Electricity",402430000
"88","Facebook",2020,"Electricity",9.8e+08
"89","Facebook",2019,"Electricity",8.53e+08
"90","Facebook",2018,"Electricity",6.12e+08
"91","Facebook",2017,"Electricity",5e+08
"92","Facebook",2016,"Electricity",3.42e+08
"93","Facebook",2020,"Electricity",4.87e+08
"94","Facebook",2019,"Electricity",3.82e+08
"95","Facebook",2018,"Electricity",2e+08
"96","Facebook",2017,"Electricity",1e+06
"97","Facebook",2016,"Electricity",1e+06
"98","Facebook",2020,"Electricity",5.95e+08
"99","Facebook",2019,"Electricity",6.14e+08
"100","Facebook",2018,"Electricity",5.47e+08
"101","Facebook",2017,"Electricity",4.33e+08
"102","Facebook",2016,"Electricity",3.39e+08
"103","Facebook",2020,"Electricity",9.41e+08
"104","Facebook",2019,"Electricity",6.95e+08
"105","Facebook",2018,"Electricity",4.61e+08
"106","Facebook",2017,"Electricity",1.89e+08
"107","Facebook",2016,"Electricity",1.6e+07
"108","Facebook",2020,"Electricity",3.69e+08
"109","Facebook",2019,"Electricity",3.73e+08
"110","Facebook",2018,"Electricity",3.37e+08
"111","Facebook",2017,"Electricity",3.01e+08
"112","Facebook",2016,"Electricity",2.95e+08
"113","Facebook",2020,"Electricity",2.7e+08
"114","Facebook",2019,"Electricity",3.8e+07
"115","Facebook",2020,"Electricity",3.43e+08
"116","Facebook",2019,"Electricity",1.28e+08
"117","Facebook",2018,"Electricity",4e+06
"118","Facebook",2020,"Electricity",5.19e+08
"119","Facebook",2019,"Electricity",1.78e+08
"120","Facebook",2018,"Electricity",5e+06
"121","Facebook",2020,"Electricity",6.86e+08
"122","Facebook",2019,"Electricity",5.73e+08
"123","Facebook",2018,"Electricity",4.88e+08
"124","Facebook",2017,"Electricity",4.26e+08
"125","Facebook",2016,"Electricity",3.27e+08
"126","Facebook",2020,"Electricity",2.04e+08
"127","Facebook",2019,"Electricity",1e+07
"128","Facebook",2020,"Electricity",5.71e+08
"129","Facebook",2019,"Electricity",2.89e+08
"130","Facebook",2018,"Electricity",2.6e+07
"131","Facebook",2020,"Electricity",7.95e+08
"132","Facebook",2019,"Electricity",6.74e+08
"133","Facebook",2018,"Electricity",4.32e+08
"134","Facebook",2017,"Electricity",3.59e+08
"135","Facebook",2016,"Electricity",3.17e+08
"136","Facebook",2020,"Electricity",2.06e+08
"137","Facebook",2019,"Electricity",1.13e+08
"138","Facebook",2018,"Electricity",1.33e+08
"139","Facebook",2017,"Electricity",1.35e+08
"140","Facebook",2016,"Electricity",1.18e+08
"141","FIS",2020,"Electricity",124110715.742458
"142","FIS",2019,"Electricity",139052850.650056
"143","Google",2019,"Electricity",8489242000
"144","Google",2019,"Electricity",3747956000
"145","Google",2018,"Electricity",7085620000
"146","Google",2018,"Electricity",3018675000
"147","Google",2017,"Electricity",5533783000
"148","Google",2017,"Electricity",2075306000
"149","Google",2016,"Electricity",4522314000
"150","Google",2016,"Electricity",1686877000
"151","Google",2015,"Electricity",3779280000
"152","Google",2015,"Electricity",1422196000
"153","HPE",2019,"Electricity",759000
"154","HPE",2018,"Electricity",504000
"155","HPE",2017,"Electricity",1001000
"156","HPE",2016,"Electricity",1438000
"157","HPE",2015,"Electricity",1271000
"158","IBM",2020,"Electricity",3.513e+09
"159","IBM",2019,"Electricity",3.806e+09
"160","IBM",2018,"Electricity",4.009e+09
"161","IBM",2018,"Electricity",3.405e+09
"162","IBM",2018,"Electricity",5.81e+08
"163","IBM",2018,"Electricity",3637715000
"164","IBM",2018,"Electricity",4359724196
"165","IBM",2018,"Electricity",5267658154
"166","IBM",2018,"Electricity",6108185782
"167","IBM",2018,"Electricity",6210174490
"168","IBM",2018,"Electricity",6334143523
"169","IBM",2018,"Electricity",6376638818
"170","IBM",2018,"Electricity",6336781162
"171","IBM",2018,"Electricity",6303077997
"172","IBM",2018,"Electricity",6577392453
"173","IBM",2018,"Electricity",6927612298
"174","IBM",2018,"Electricity",6591459861
"175","IBM",2018,"Electricity",6632196730
"176","IBM",2018,"Electricity",6259996560
"177","IBM",2018,"Electricity",6358175345
"178","IBM",2018,"Electricity",7339670124
"179","Huawei",2018,"Electricity",2355040000
"180","Huawei",2017,"Electricity",2070950000
"181","Huawei",2016,"Electricity",1686530000
"182","Huawei",2015,"Electricity",1.347e+09
"183","Huawei",2014,"Electricity",1133250000
"184","Huawei",2013,"Electricity",940820000
"185","Huawei",2012,"Electricity",86885000
"199","Salesforce",2019,"Electricity",542588736.263736
"200","Salesforce",2018,"Electricity",505574505.494505
"201","Salesforce",2017,"Electricity",409095989.010989
"202","Salesforce",2016,"Electricity",284318136.986301
"203","Salesforce",2015,"Electricity",198793681.318681
"204","Salesforce",2014,"Electricity",88373076.9230769
"205","SAP",2020,"Electricity",3.61e+08
"206","SAP",2019,"Electricity",3.38e+08
"207","SAP",2018,"Electricity",3.18e+08
"208","SAP",2017,"Electricity",2.65e+08
"209","SAP",2016,"Electricity",2.43e+08
"210","ServiceStream",2019,"Electricity",724197.893049764
"211","Spark",2019,"Electricity",29079452.0547945
"212","Spark",2018,"Electricity",28656593.4065934
"213","Spark",2017,"Electricity",27651098.9010989
"214","Spark",2016,"Electricity",25500000
"215","Spark",2015,"Electricity",23564383.5616438
"216","SUNeVision",2019,"Electricity",128218416.041096
"217","SUNeVision",2018,"Electricity",93781637.4642857
"218","SUNeVision",2017,"Electricity",74400245.217033
"219","Tencent",2020,"Electricity",1513913880
"220","Tencent",2019,"Electricity",1299958500
"221","Tencent",2018,"Electricity",938848880
"222","VISA",2018,"Electricity",25859961.5981551
"223","Verizon",2020,"Electricity",9838981220.32647
"224","Verizon ",2019,"Electricity",9987683766.84458
"227","Equinix",2017,"Electricity",4.518e+09
"228","Equinix",2016,"Electricity",3.692e+09
"229","Equinix",2015,"Electricity",2.574e+09
"230","Equinix",2014,"Electricity",2.239e+09
"231","Telstra ",2015,"Electricity",1448601736.53439
"232","Telstra ",2014,"Electricity",1433187634.15064
"233","Telstra ",2013,"Electricity",1436352065.39815
"234","Telstra ",2012,"Electricity",1464187504.86889
"235","Telstra ",2011,"Electricity",1418544084.10894
"236","Telstra ",2010,"Electricity",1450080063.70251
"237","Fujitsu",2018,"Electricity",6190593406.59341
"238","Fujitsu",2017,"Electricity",5537208791.20879
"239","Fujitsu",2016,"Electricity",5.01e+09
"240","Fujitsu",2015,"Electricity",6088805479.45205
"241","Fujitsu",2014,"Electricity",5945197802.1978
"242","Fujitsu",2013,"Electricity",7034423076.92308
"243","Fujitsu",2012,"Electricity",8787233250
"244","Fujitsu",2011,"Electricity",7966797726.0274
"245","Fujitsu",2010,"Electricity",6190463934.06593
"246","Fujitsu",2009,"Electricity",6140998653.84615
"247","KDDI Group",2019,"Electricity",1695435430.13699
"248","KDDI Group",2018,"Electricity",1631931956.04396
"249","KDDI Group",2017,"Electricity",1467654653.84615
"250","KDDI Group",2016,"Electricity",1435310250
"251","KDDI Group",2015,"Electricity",1455664410.9589
"252","KDDI Group",2014,"Electricity",1410116159.34066
"253","KDDI Group",2013,"Electricity",1269493186.81319
"254","KDDI Group",2012,"Electricity",1414277250
"255","KDDI Group",2011,"Electricity",1644593041.09589
"256","KDDI Group",2010,"Electricity",1501760879.12088
"257","KDDI Group",2009,"Electricity",1600671868.13187
"258","China Unicom",2019,"Electricity",1.581e+10
"259","China Unicom",2018,"Electricity",1.419e+10
"260","China Unicom",2017,"Electricity",1.3986e+10
"261","China Unicom",2016,"Electricity",1.3893e+10
"262","China Unicom",2015,"Electricity",1.4575e+10
"263","China Unicom",2014,"Electricity",1.3434e+10
"264","China Unicom",2013,"Electricity",1.3033e+10
"265","China Unicom",2012,"Electricity",1.172e+10
"266","NTT",2019,"Electricity",350787561.643836
"267","NTT",2019,"Electricity",268712926.027397
"268","NTT",2018,"Electricity",358894835.164835
"269","NTT",2017,"Electricity",361792912.087912
"270","NTT",2016,"Electricity",370777500
"271","NTT",2015,"Electricity",357783945.205479
"276","CyrusOne",2019,"Electricity",2.506e+09
"277","CyrusOne",2018,"Electricity",1.932e+09
"278","Digital Realty",2020,"Electricity",8318712000
"279","Digital Realty",2019,"Electricity",6631840000
"280","Digital Realty",2018,"Electricity",6180300000
"281","Iron Mountain",2019,"Electricity",574406000
"282","Iron Mountain",2018,"Electricity",541357000
"283","Iron Mountain",2017,"Electricity",356100000
"284","Iron Mountain",2016,"Electricity",337490000
"285","Iron Mountain",2015,"Electricity",319417000
"286","Iron Mountain",2014,"Electricity",2.65e+08
"287","Iron Mountain",2013,"Electricity",2.9e+08
"288","Lumen",2018,"Electricity",195368000
"3100","Accenture",2020,"Electricity",121665753.424658
"4100","Accenture",2019,"Electricity",160219780.21978
"5100","Adobe",2020,"Electricity",41248484848.4848
"6100","Adobe",2019,"Electricity",30117694214.876
"7100","Adobe",2019,"Electricity",35563115702.4793
"1210","Apple",2020,"Electricity",265483146.067416
"1310","Apple",2020,"Electricity",168337078.651685
"1410","Apple",2020,"Electricity",73415730.3370787
"1510","Apple",2020,"Electricity",206898876.404494
"1610","Apple",2020,"Electricity",255842696.629213
"1710","Apple",2020,"Electricity",9640449.43820225
"1810","Apple",2020,"Electricity",217280898.876404
"1910","Apple",2020,"Electricity",59325842.6966292
"2010","Apple",2020,"Electricity",5191011.23595506
"2110","Apple",2019,"Electricity",237811267.605634
"2210","Apple",2019,"Electricity",120757746.478873
"2310","Apple",2019,"Electricity",80011267.6056338
"2410","Apple",2019,"Electricity",188174647.887324
"2510","Apple",2019,"Electricity",277076056.338028
"2610","Apple",2019,"Electricity",4445070.42253521
"2710","Apple",2019,"Electricity",203732394.366197
"2810","Apple",2019,"Electricity",47414084.5070423
